Location,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_135940,2023,0.0,0.05
ESG_135942,2023,0.5,2.48
ESG_135945,2023,0.0,0.49
ESG_135947,2023,3.17,0.27
ESG_135953,2023,2.12,3.48
ESG_135963,2023,5.08,9.78
ESG_135965,2023,6.39,10.64
ESG_135967,2023,10.13,6.84
ESG_135972,2023,3.71,1.08
ESG_135977,2023,2.02,0.94
ESG_136523,2023,0.0,1.2
ESG_136528,2023,0.0,0.52
ESG_136532,2023,0.0,6.81
ESG_136537,2023,4.7,1.09
ESG_136540,2023,14.93,7.98
ESG_136543,2023,0.09,0.15
ESG_136547,2023,4.87,1.28
ESG_136549,2023,0.0,0.24
ESG_136552,2023,0.53,0.1
ESG_136554,2023,0.81,0.42
ESG_136963,2023,0.0,0.19
ESG_136967,2023,0.0,0.04
ESG_136969,2023,2.39,0.11
ESG_136972,2023,0.98,1.33
ESG_136977,2023,0.0,0.15
ESG_136980,2023,2.03,0.32
ESG_136983,2023,4.47,0.33
ESG_136984,2023,4.05,0.88
ESG_136994,2023,7.91,1.92
ESG_137003,2023,0.0,1.3
ESG_137621,2023,0.0,0.03
ESG_137625,2023,0.43,0.08
ESG_137640,2023,0.71,0.39
ESG_137643,2023,0.0,1.66
ESG_137652,2023,1.65,0.53
ESG_137656,2023,0.0,0.75
ESG_137658,2023,0.54,0.98
ESG_137660,2023,0.86,3.91
ESG_137663,2023,2.31,1.01
ESG_137681,2023,0.0,0.43
ESG_137683,2023,0.0,0.13
ESG_137688,2023,0.0,2.69
ESG_137689,2023,1.35,0.3
ESG_137691,2023,0.0,0.09
ESG_137694,2023,0.0,1.12
ESG_137695,2023,9.39,1.62
ESG_137697,2023,0.0,0.3
ESG_137699,2023,0.0,0.2
ESG_137702,2023,1.49,1.0
ESG_137704,2023,0.0,0.59
ESG_138591,2023,7.68,3.06
ESG_138592,2023,0.56,0.43
ESG_138593,2023,3.8,2.02
ESG_138595,2023,0.0,0.27
ESG_138596,2023,0.0,9.66
ESG_138597,2023,0.25,0.03
ESG_138598,2023,3.56,0.27
ESG_138599,2023,0.0,0.26
ESG_138600,2023,3.21,0.27
ESG_138601,2023,0.14,1.49
ESG_138625,2023,0.9,2.1
ESG_138712,2023,0.0,0.14
ESG_138719,2023,0.0,0.28
ESG_138726,2023,0.69,0.67
ESG_138729,2023,0.0,0.01
ESG_138730,2023,0.0,2.22
ESG_138735,2023,0.08,0.08
ESG_138736,2023,0.0,0.02
ESG_138741,2023,0.1,1.44
ESG_138745,2023,0.08,0.68
ESG_138747,2023,1.73,0.31
ESG_139073,2023,8.81,4.56
ESG_139086,2023,0.0,0.61
ESG_139088,2023,0.72,0.7
ESG_139094,2023,0.0,2.35
ESG_139097,2023,0.0,0.0
ESG_139152,2023,0.0,0.1
