esgType,Sector,industry,Company,locationName,locationGeneralType,locationType,countryName,latitude,longitude,NonGHGAirPollutants,GHGEmissions,SoilPollutants,SolidWaste,WaterPollutants,WaterUse,WaterQuality,waterStressScore,MarineEcosystemUse,FreshwaterEcosystemUse,ProductionProcess,landUsage,TotalSpeciesCount1km,located_within_KBA_or_Not,located_within_WPA_or_Not,area_KBA_1km,area_WPA_1km,distance_Kms_to_closest_KBA,distance_Kms_to_closest_WPA,AnnualHurricaneOccurance250Km,AnnualMaxStormSpeed250Km,AnnualLandslideOccurance25Km,RiverineInundation2030RCP45ReturnPeriod100,RiverineInundation2050RCP45ReturnPeriod100,RiverineInundation2080RCP45ReturnPeriod100,RiverineInundation2030RCP85ReturnPeriod100,RiverineInundation2050RCP85ReturnPeriod100,RiverineInundation2080RCP85ReturnPeriod100,CoastalInundation2030RCP45ReturnPeriod100Percentile95,CoastalInundation2030RCP85ReturnPeriod100Percentile95,CoastalInundation2050RCP45ReturnPeriod100Percentile95,CoastalInundation2050RCP85ReturnPeriod100Percentile95,CoastalInundation2080RCP45ReturnPeriod100Percentile95,CoastalInundation2080RCP85ReturnPeriod100Percentile95,heatwaveRiskScore_2025_RCP45,heatwaveRiskScore_2025_RCP85,heatwaveRiskScore_2050_RCP45,heatwaveRiskScore_2050_RCP85,heatwaveRiskScore_2075_RCP45,heatwaveRiskScore_2075_RCP85,heatwaveRiskScore_2100_RCP45,heatwaveRiskScore_2100_RCP85,coldwaveRiskScore_2025_RCP45,coldwaveRiskScore_2025_RCP85,coldwaveRiskScore_2050_RCP45,coldwaveRiskScore_2050_RCP85,coldwaveRiskScore_2075_RCP45,coldwaveRiskScore_2075_RCP85,coldwaveRiskScore_2100_RCP45,coldwaveRiskScore_2100_RCP85,annualAccumilatedRainfall2030RCP45,annualAccumilatedRainfall2030RCP85,annualAccumilatedRainfall2050RCP45,annualAccumilatedRainfall2050RCP85,annualAccumilatedRainfall2080RCP45,annualAccumilatedRainfall2080RCP85,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_100119,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Argentina Victoria Ocampo Office,Office,Office,Argentina,-34.6017825,-58.3641079,H,H,H,H,H,VH,,60.02403222,M,H,Oil and gas exploration surveys,0.004042476,810,0,0,1.104,1.089,0.041,0.165,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,84.42,88.17,90,88.67,92.08,2023,17.18,17.43
ESG_100121,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Storage Williston,Storage,Storage,United States of America,48.1415794,-103.850979,,,L,,L,,,32.88377623,,,Oil and gas storage,0.192243427,394,0,0,0,0,46.641,8.566,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,18,14,13,10,13,16,9,39.92,34.83,38.33,34.17,35.83,38.83,2023,0.23,0.83
ESG_100125,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Marketing And Trading Stamford,Office,Office,United States of America,41.0744128,-73.5531882,H,H,H,H,H,VH,,78.99846399,M,H,Oil and gas exploration surveys,0.153776862,588,0,0,0,0,14.485,1.136,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,103.75,104,105.58,105.42,107.17,109.5,2023,0,0.03
ESG_100129,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Caracas,Office,Office,Venezuela (Bolivarian Republic of),10.4986507,-66.8522569,,,,M,,,,63.48885258,,,Oil and gas services,0.012702589,1009,0,1,0,3.143,1.396,0,8,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.17,76.83,77.75,80,78.42,79.17,2023,0,0.19
ESG_100134,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office London,Office,Office,United Kingdom of Great Britain and Northern Ireland,51.5190763,-0.181679,,,,M,,,,37.21804694,,,Oil and gas services,0.012307827,640,0,0,0,0,10.431,1.522,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.17,56.75,55.42,54.67,55.08,54.33,2023,8.02,1.42
ESG_100135,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Tanzania,Office,Office,"Tanzania, United Republic of",-6.744889,39.280335,,,,M,,,,9.944956927,,,Oil and gas services,0.006168646,2569,1,0,3.143,0,0,3.467,,,,,,,,,,0,0,0,0,0,0,0,0,7,13,9,36,19,55,0,0,0,0,0,0,0,0,85.92,84.17,83.92,87.25,85.33,83.5,2023,,
ESG_100138,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Asia Pacific Office Singapore,Office,Office,Singapore,1.278489791,103.8516823,H,H,H,H,H,VH,,89.79377925,M,H,Oil and gas exploration surveys,0.030020451,2829,0,0,0,0,5.701,5.389,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,56,14,84,0,0,0,0,0,0,0,0,172.42,186.75,180.33,164.5,182.58,173.75,2023,,
ESG_100141,Energy,Professional Services,Equinor ASA,Equinor Research Center Ranheim,Research Institute,Research Institute,Norway,63.4388664,10.478279,M,,H,M,H,H,,5.420334826,,,Infrastructure holdings,0.337885038,583,0,0,0,0,9.956,1.178,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,80.92,80.58,83.58,83,82.25,87.33,2023,14.62,36.74
ESG_100152,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Rotterdam,Office,Office,Netherlands,51.92226,4.468957,,,,M,,,,4.87555941,,,Oil and gas services,0.066608583,680,0,0,0,0,3.885,1.508,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.25,71.92,72,69.83,70.58,72.08,2023,1.84,1.79
ESG_100158,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Mexico,Office,Office,Mexico,19.4284975,-99.204629,H,H,H,H,H,VH,,8.459257436,M,H,Oil and gas exploration surveys,0.007012284,617,0,0,0,0,13.17,1.069,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.25,63.67,62.25,66,63.08,68.33,2023,0,0.22
